Name,Season,Yards,TD,INT,Score,Seasons
Kyle Richardson,2001,-17.775786416167108,-0.03924355725851307,-0.033681478276991535,-0.8999134787713986,1
Kyle Rote,1952,58.430277589480006,1.033322978716524,0.5735765862774769,3.8410066643520944,5
Kyler Murray,2019,-284.6212458092923,-2.674217045476933,-0.09130918549509381,-19.396878010428296,2
L.G. Dupre,1959,-7.248788368336026,-0.053042541733979535,-0.05950457727517501,-0.34951534733441036,1
LaBrandon Toefield,2003,18.725641181107136,-0.0793063724004123,-0.06523979870247984,0.9081489116594921,1
LaDainian Tomlinson,2003,60.72393073965622,6.511823783433984,-0.3769154115325239,16.81367492691583,6
LaMont Jordan,2001,-13.828372939341868,-0.08400324907702841,0.9342774308583882,-2.7279800068379267,2
Lac Edwards,2017,23.984903934126258,-0.04237191216834401,-0.024588289112534308,1.1636779505946935,1
Lamar Jackson,2018,115.88927134423602,18.86536138074738,-3.873144169354302,51.27147466741517,3
Lamar McHan,1954,-913.5861003386168,-1.2034407712140411,13.602000134389067,-75.29018682813707,10
Lamar Smith,1998,-7.203032179293151,0.8365153941942934,-0.13178905965397505,1.5764572987318792,3
Lamont Warren,1994,-27.012453571452397,-0.1564361243771105,0.8707012751672891,-3.404897477661419,3
Lance Alworth,1964,-24.74395970431494,-0.09966099363933298,-0.12226866082172941,-1.191982650850954,2
Lance Moore,2008,-6.944572189277502,-0.03908991891564807,0.9718625196659809,-2.369133486627133,1
Lance Rentzel,1970,51.27235606369947,0.9564107799101674,-0.052062066149448756,4.580563495304206,1
Landry Jones,2015,99.58427965514167,0.5879287732013532,3.0501959331202366,0.054679662919316474,3
Larry Barnes,1957,-9.41090146750524,-0.050913447139862233,-0.06918238993710692,-0.43400718778077274,1
Larry Brown,1974,9.507024664377147,-0.03912998230825268,-0.052034550941825373,0.5011603704860027,1
Larry Centers,1995,-6.771004251751602,-0.039702976226121324,0.9693394814060722,-2.356635127851967,1
Larry Cipa,1974,-180.18222863924288,-2.7585864078824045,-1.839339387331329,-10.847605473064295,2
Larry Fitzgerald,2013,24.33743155179174,0.8224021744223486,-0.09866300066210651,3.0590019277584974,4
Larry Garron,1962,-2.595702785234373,-0.3083637248438039,-0.39772260447081725,0.048932619992308024,3
Larry Johnson,2006,-16.652116591246635,0.8791302396625511,-0.09119491421981074,1.1080444782023917,3
Larry Lawrence,1974,-125.71919689479074,-1.292214518853972,2.3837527164609242,-13.637894315369332,3
Larry Mallory,1978,28.27441034745118,-0.03956378392087243,-0.05401978189196044,1.442632513314735,1
Larry Miller,1987,-39.753168779186126,-0.2717367133644652,0.7598398932621748,-4.0508116522125865,1
Larry Moriarty,1984,8.863315881326352,-0.04293193717277487,-0.040767888307155324,0.4388376963350785,1
Larry Rakestraw,1967,-186.8678306496813,-1.6397715470146585,2.8503161827387116,-18.32356699199081,2
Larry Seiple,1967,48.651160750100274,-0.14610373331041202,-0.17485835338949057,2.490067277663171,2
Larry Smith,1969,-2.5577350174354194,-0.22355668364329162,-0.25941383620484093,-0.056172445748672306,3
Larry Swider,1979,29.129671007011325,-0.04145157562215887,-0.04599738038369674,1.4655751598736422,1
Larry Todd,1965,-6.367196056955093,-0.04463307776560788,-0.05558598028477547,-0.2964539978094195,1
Larry Walton,1969,52.02839133033034,0.8708338100091841,-0.1530840743028785,4.6492553351406425,2
Larry Weldon,1944,-3.684011352885527,-0.33207190160832545,-0.6641438032166509,0.4799432355723745,1
Larry Wilson,1972,-13.633337032515813,-0.08966818333148374,-0.10653645544334701,-0.6479303074020641,1
Lawrence McCutcheon,1975,-15.40311898173763,-0.17141588821428516,-0.19896353425537378,-0.7150606570047042,3
Le'Veon Bell,2016,-7.152992620934682,-0.04296255807597704,-0.022683793386171085,-0.398207160426346,1
Lee Bouggess,1970,-6.727643936300531,-0.043589220089832584,-0.052062066149448756,-0.3194365046957942,1
Lee Evans,2006,-6.850753554213192,-0.039538714991762765,-0.03172859845018,-0.35815791079382514,1
Lee Grosscup,1960,-116.70949810709413,1.055550870485936,0.13184062651690476,-3.988054417416646,3
Lee Johnson,1990,-3.874989491036464,1.7676907378040552,-0.19770911673949548,3.7370502345352783,6
Lee McGriff,1976,32.373294346978554,-0.042105263157894736,-0.04844054580896686,1.6313352826510719,1
Lee Woodruff,1933,-5.458125,-0.035625,0.84875,-2.04165625,1
Legedu Naanee,2009,33.81969844461471,-0.08447528942786434,-0.05982756788668467,1.641689479148376,2
Len Barnum,1938,-131.6643569711297,0.6143520259050532,3.198337475676138,-11.751188748098656,5
Len Dawson,1957,3323.552772392979,62.882002752117195,-33.20093243915244,358.3435090021883,19
Len Eshmont,1941,13.8289592760181,0.8656108597285068,-0.2986425339366516,3.019954751131222,1
Len Janiak,1942,4.944419742107604,-0.04802134281903068,-0.09737661182747888,0.34593152512227665,1
